run,fold,test_bases,RF
D_recorrente_D_,0,[0],0.19942697747174165
D_recorrente_D_,1,[1],0.41494583367084287
D_recorrente_D_,2,[2],0.6746844614734882
D_recorrente_D_,3,[3],0.1447891825535304
D_recorrente_D_,4,[4],0.21982644164790988
D_recorrente_D_,5,[5],0.3672670825477317
D_recorrente_D_,6,[6],0.24517021969704347
D_recorrente_D_,7,[7],0.4312040793514234
D_recorrente_D_,8,[8],0.2014857569473984
D_recorrente_D_,9,[9],0.43093840713321135
D_recorrente_D_,10,[10],0.15517602766183952
D_recorrente_D_,11,[11],0.2586778629470151
