run,fold,test_bases,RF
D_recorrente_D_,0,[0],0.373567335243553
D_recorrente_D_,1,[1],0.48172757475083056
D_recorrente_D_,2,[2],0.3228928382896358
D_recorrente_D_,3,[3],0.4681409295352324
D_recorrente_D_,4,[4],0.6164528036561786
D_recorrente_D_,5,[5],0.4460707440320613
D_recorrente_D_,6,[6],0.355309423347398
D_recorrente_D_,7,[7],0.4453590192644483
D_recorrente_D_,8,[8],0.2635015884221673
D_recorrente_D_,9,[9],0.41027433164424254
D_recorrente_D_,10,[10],0.42601060910920063
D_recorrente_D_,11,[11],0.33605560382276284
