run,fold,test_bases,RF
D_recorrente_D_,0,[0],0.32239223422509594
D_recorrente_D_,1,[1],0.4068000488860659
D_recorrente_D_,2,[2],0.25135015879813644
D_recorrente_D_,3,[3],0.35815945094735624
D_recorrente_D_,4,[4],0.5447889330594236
D_recorrente_D_,5,[5],0.3991472347388357
D_recorrente_D_,6,[6],0.28048066083991374
D_recorrente_D_,7,[7],0.3707888437171052
D_recorrente_D_,8,[8],0.24651926431204307
D_recorrente_D_,9,[9],0.390884164391874
D_recorrente_D_,10,[10],0.34361561410203234
D_recorrente_D_,11,[11],0.2968614163226963
