run,fold,test_bases,RF
D_recorrente_D_,0,[0],0.6187320916905444
D_recorrente_D_,1,[1],0.3357230285014863
D_recorrente_D_,2,[2],0.5189160654583846
D_recorrente_D_,3,[3],0.22788605697151423
D_recorrente_D_,4,[4],0.1017753559500791
D_recorrente_D_,5,[5],0.33786373932740893
D_recorrente_D_,6,[6],0.09862869198312237
D_recorrente_D_,7,[7],0.5043782837127846
D_recorrente_D_,8,[8],0.15213554535827745
D_recorrente_D_,9,[9],0.27206010833478944
D_recorrente_D_,10,[10],0.39473202853484546
D_recorrente_D_,11,[11],0.3694178974804518
