run,fold,test_bases,RF
D_recorrente_D_,0,[0],0.6635028653295129
D_recorrente_D_,1,[1],0.5486973247071166
D_recorrente_D_,2,[2],0.617103642442372
D_recorrente_D_,3,[3],0.4868815592203898
D_recorrente_D_,4,[4],0.38512919669537704
D_recorrente_D_,5,[5],0.3416971597839345
D_recorrente_D_,6,[6],0.5937060478199718
D_recorrente_D_,7,[7],0.47933450087565677
D_recorrente_D_,8,[8],0.49858806918460996
D_recorrente_D_,9,[9],0.4513367115149397
D_recorrente_D_,10,[10],0.48564111944393634
D_recorrente_D_,11,[11],0.5569070373588184
