run,fold,test_bases,RF
D_recorrente_D_,0,[0],0.43159025787965616
D_recorrente_D_,1,[1],0.3014513026752929
D_recorrente_D_,2,[2],0.35122294562730955
D_recorrente_D_,3,[3],0.27886056971514245
D_recorrente_D_,4,[4],0.4306556512568114
D_recorrente_D_,5,[5],0.4830109775222164
D_recorrente_D_,6,[6],0.35337552742616035
D_recorrente_D_,7,[7],0.49632224168126093
D_recorrente_D_,8,[8],0.2488528062124956
D_recorrente_D_,9,[9],0.36903721824218066
D_recorrente_D_,10,[10],0.26303274190598136
D_recorrente_D_,11,[11],0.305994787141616
