run,fold,test_bases,RF
D_recorrente_D_,0,[0],0.3225895649499735
D_recorrente_D_,1,[1],0.28046759839293345
D_recorrente_D_,2,[2],0.2506682921695674
D_recorrente_D_,3,[3],0.18639229380434563
D_recorrente_D_,4,[4],0.3401168957111801
D_recorrente_D_,5,[5],0.39298030299138986
D_recorrente_D_,6,[6],0.20636899805535602
D_recorrente_D_,7,[7],0.4291492445112035
D_recorrente_D_,8,[8],0.1911920431656663
D_recorrente_D_,9,[9],0.2922019992918046
D_recorrente_D_,10,[10],0.11579402449949161
D_recorrente_D_,11,[11],0.16989682313312912
