run,fold,test_bases,RF
D_recorrente_D_,0,[0],0.7468960989217092
D_recorrente_D_,1,[1],0.8297279143027414
D_recorrente_D_,2,[2],0.7247899293578384
D_recorrente_D_,3,[3],0.8570462928057874
D_recorrente_D_,4,[4],0.6490250740043524
D_recorrente_D_,5,[5],0.7841772873317079
D_recorrente_D_,6,[6],0.5242417600200502
D_recorrente_D_,7,[7],0.7134460402472769
D_recorrente_D_,8,[8],0.7172944571117321
D_recorrente_D_,9,[9],0.7648662212461719
D_recorrente_D_,10,[10],0.77620844862282
D_recorrente_D_,11,[11],0.7993334110486396
