run,fold,test_bases,RF
D_recorrente_I_,0,[0],0.1425004458712324
D_recorrente_I_,1,[1],0.2640252454417952
D_recorrente_I_,2,[2],0.1205790727505955
D_recorrente_I_,3,[3],0.1215903013014797
D_recorrente_I_,4,[4],0.1050293229074107
D_recorrente_I_,5,[5],0.2007319304666056
D_recorrente_I_,6,[6],0.2337733773377337
D_recorrente_I_,7,[7],0.1378459368940595
D_recorrente_I_,8,[8],0.3428063943161634
D_recorrente_I_,9,[9],0.2698227157607636
D_recorrente_I_,10,[10],0.1744680851063829
D_recorrente_I_,11,[11],0.1466523065876862
D_recorrente_I_,0,[0],0.1425004458712324
D_recorrente_I_,1,[1],0.26402524544179523
D_recorrente_I_,2,[2],0.12057907275059557
D_recorrente_I_,3,[3],0.12159030130147977
D_recorrente_I_,4,[4],0.1050293229074107
D_recorrente_I_,5,[5],0.20073193046660567
D_recorrente_I_,6,[6],0.23377337733773376
D_recorrente_I_,7,[7],0.13784593689405958
D_recorrente_I_,8,[8],0.3428063943161634
D_recorrente_I_,9,[9],0.26982271576076367
D_recorrente_I_,10,[10],0.17446808510638298
D_recorrente_I_,11,[11],0.14665230658768624
