run,fold,test_bases,RF
D_recorrente_I_,0,[0],0.28992360858494
D_recorrente_I_,1,[1],0.7136729222520107
D_recorrente_I_,2,[2],0.40632011967090503
D_recorrente_I_,3,[3],0.025818181818181817
D_recorrente_I_,4,[4],0.576476984414643
D_recorrente_I_,5,[5],0.5561986557132188
D_recorrente_I_,6,[6],0.5700654817586529
D_recorrente_I_,7,[7],0.660136592379583
D_recorrente_I_,8,[8],0.32210568777732956
D_recorrente_I_,9,[9],0.5951433121019108
D_recorrente_I_,10,[10],0.5425805176842521
D_recorrente_I_,11,[11],0.2923837422189674
