run,fold,test_bases,RF
D_recorrente_I_,0,[0],0.2886504183339396
D_recorrente_I_,1,[1],0.6838248436103664
D_recorrente_I_,2,[2],0.2905759162303665
D_recorrente_I_,3,[3],0.027454545454545454
D_recorrente_I_,4,[4],0.5264588619064878
D_recorrente_I_,5,[5],0.5311799850634802
D_recorrente_I_,6,[6],0.5672591206735267
D_recorrente_I_,7,[7],0.6903306973400432
D_recorrente_I_,8,[8],0.36708350141185964
D_recorrente_I_,9,[9],0.5626990445859873
D_recorrente_I_,10,[10],0.5004939735230192
D_recorrente_I_,11,[11],0.285060417429513
