run,fold,test_bases,RF
D_recorrente_I_,0,[0],0.39396144052382687
D_recorrente_I_,1,[1],0.6325290437890974
D_recorrente_I_,2,[2],0.39827973074046374
D_recorrente_I_,3,[3],0.03418181818181818
D_recorrente_I_,4,[4],0.5588981515041682
D_recorrente_I_,5,[5],0.5098954443614638
D_recorrente_I_,6,[6],0.578110383536015
D_recorrente_I_,7,[7],0.5496046010064701
D_recorrente_I_,8,[8],0.3662767244856797
D_recorrente_I_,9,[9],0.5736464968152867
D_recorrente_I_,10,[10],0.5279589014028848
D_recorrente_I_,11,[11],0.2918344928597583
