run,fold,test_bases,RF
D_recorrente_I_,0,[0],0.2110657705066486
D_recorrente_I_,1,[1],0.5540224568563702
D_recorrente_I_,2,[2],0.3023370841540199
D_recorrente_I_,3,[3],0.030791007796655535
D_recorrente_I_,4,[4],0.38266678942086274
D_recorrente_I_,5,[5],0.3820395644356143
D_recorrente_I_,6,[6],0.4458468176307063
D_recorrente_I_,7,[7],0.5512088395552769
D_recorrente_I_,8,[8],0.3005707680985601
D_recorrente_I_,9,[9],0.5431347637227479
D_recorrente_I_,10,[10],0.43774550270070306
D_recorrente_I_,11,[11],0.26530389477226923
