run,fold,test_bases,RF
D_recorrente_I_,0,[0],0.2281997634588766
D_recorrente_I_,1,[1],0.49540364272647736
D_recorrente_I_,2,[2],0.21348569211538476
D_recorrente_I_,3,[3],0.0413014999716681
D_recorrente_I_,4,[4],0.4526014241080973
D_recorrente_I_,5,[5],0.29966777893087404
D_recorrente_I_,6,[6],0.4273373297160968
D_recorrente_I_,7,[7],0.422978300000509
D_recorrente_I_,8,[8],0.19568067278024753
D_recorrente_I_,9,[9],0.4990059526090795
D_recorrente_I_,10,[10],0.4123484305563876
D_recorrente_I_,11,[11],0.18317225489449035
