run,fold,test_bases,RF
D_recorrente_I_,0,[0],0.256925306810804
D_recorrente_I_,1,[1],0.5517290674421502
D_recorrente_I_,2,[2],0.3598328909265663
D_recorrente_I_,3,[3],0.021575721619104458
D_recorrente_I_,4,[4],0.3244322117139119
D_recorrente_I_,5,[5],0.4533449407629946
D_recorrente_I_,6,[6],0.5452507919641321
D_recorrente_I_,7,[7],0.6428082816156738
D_recorrente_I_,8,[8],0.19161777691150766
D_recorrente_I_,9,[9],0.5759539004085724
D_recorrente_I_,10,[10],0.5440855783421138
D_recorrente_I_,11,[11],0.39799794261188565
