run,fold,test_bases,RF
D_recorrente_I_,0,[0],0.21454904677014533
D_recorrente_I_,1,[1],0.6001135388600761
D_recorrente_I_,2,[2],0.25650173194084913
D_recorrente_I_,3,[3],0.012185636505055743
D_recorrente_I_,4,[4],0.3798027316803839
D_recorrente_I_,5,[5],0.3649843138045684
D_recorrente_I_,6,[6],0.4382188937714645
D_recorrente_I_,7,[7],0.5470731741000165
D_recorrente_I_,8,[8],0.2520963459692502
D_recorrente_I_,9,[9],0.5873897704945765
D_recorrente_I_,10,[10],0.408607665865648
D_recorrente_I_,11,[11],0.2152771010468822
