run,fold,test_bases,RF
D_recorrente_I_,0,[0],0.4011057606563225
D_recorrente_I_,1,[1],0.2776998597475456
D_recorrente_I_,2,[2],0.12845886017958585
D_recorrente_I_,3,[3],0.30486717775004457
D_recorrente_I_,4,[4],0.37017949173627157
D_recorrente_I_,5,[5],0.16505032021957913
D_recorrente_I_,6,[6],0.23597359735973597
D_recorrente_I_,7,[7],0.05799400669839591
D_recorrente_I_,8,[8],0.5184527333728044
D_recorrente_I_,9,[9],0.2706019871420222
D_recorrente_I_,10,[10],0.27524177949709866
D_recorrente_I_,11,[11],0.15329384311613714
