run,fold,test_bases,RF
D_recorrente_I_,0,[0],0.5446762974852862
D_recorrente_I_,1,[1],0.15725806451612903
D_recorrente_I_,2,[2],0.0778816199376947
D_recorrente_I_,3,[3],0.48725262970226424
D_recorrente_I_,4,[4],0.1638528523191754
D_recorrente_I_,5,[5],0.2292772186642269
D_recorrente_I_,6,[6],0.4517785111844518
D_recorrente_I_,7,[7],0.2527763088313062
D_recorrente_I_,8,[8],0.32603118215906846
D_recorrente_I_,9,[9],0.2522891096824469
D_recorrente_I_,10,[10],0.2539651837524178
D_recorrente_I_,11,[11],0.39885119368156524
