run,fold,test_bases,RF
D_recorrente_I_,0,[0],0.28035787640996757
D_recorrente_I_,1,[1],0.28463282919767263
D_recorrente_I_,2,[2],0.27301869106047866
D_recorrente_I_,3,[3],0.04496141658003092
D_recorrente_I_,4,[4],0.34717381133881076
D_recorrente_I_,5,[5],0.2204238294927751
D_recorrente_I_,6,[6],0.17968147816252644
D_recorrente_I_,7,[7],0.39692880796534497
D_recorrente_I_,8,[8],0.26886680687864084
D_recorrente_I_,9,[9],0.37621786615475183
D_recorrente_I_,10,[10],0.49399941238788725
D_recorrente_I_,11,[11],0.19931082764875252
