run,fold,test_bases,RF
D_recorrente_I_,0,[0],0.21092598300205412
D_recorrente_I_,1,[1],0.29295768251167414
D_recorrente_I_,2,[2],0.16784759583334274
D_recorrente_I_,3,[3],0.2693133107105434
D_recorrente_I_,4,[4],0.26672096975278947
D_recorrente_I_,5,[5],0.15573412254613986
D_recorrente_I_,6,[6],0.29845459755905906
D_recorrente_I_,7,[7],0.23346490733011804
D_recorrente_I_,8,[8],0.40983094798199293
D_recorrente_I_,9,[9],0.3328711385347207
D_recorrente_I_,10,[10],0.315234812490457
D_recorrente_I_,11,[11],0.30315880116998356
