run,fold,test_bases,RF
D_recorrente_I_,0,[0],0.2953451043338684
D_recorrente_I_,1,[1],0.6065918653576438
D_recorrente_I_,2,[2],0.2314458493677845
D_recorrente_I_,3,[3],0.2720627562845427
D_recorrente_I_,4,[4],0.2751021858894615
D_recorrente_I_,5,[5],0.347483989021043
D_recorrente_I_,6,[6],0.14411441144114412
D_recorrente_I_,7,[7],0.5161290322580645
D_recorrente_I_,8,[8],0.25261495954213536
D_recorrente_I_,9,[9],0.3810637054354179
D_recorrente_I_,10,[10],0.5222437137330754
D_recorrente_I_,11,[11],0.19045054747801113
