run,fold,test_bases,RF
D_recorrente_I_,0,[0],0.11753165685749956
D_recorrente_I_,1,[1],0.4894810659186536
D_recorrente_I_,2,[2],0.42862378596298334
D_recorrente_I_,3,[3],0.228917810661437
D_recorrente_I_,4,[4],0.3566731828683135
D_recorrente_I_,5,[5],0.4688014638609332
D_recorrente_I_,6,[6],0.3641364136413641
D_recorrente_I_,7,[7],0.2656442799224396
D_recorrente_I_,8,[8],0.19182948490230906
D_recorrente_I_,9,[9],0.2707968049873368
D_recorrente_I_,10,[10],0.4564796905222437
D_recorrente_I_,11,[11],0.01830910070005385
