run,fold,test_bases,RF
D_recorrente_I_,0,[0],0.07554840641881952
D_recorrente_I_,1,[1],0.44626332005473635
D_recorrente_I_,2,[2],0.2780789437266905
D_recorrente_I_,3,[3],0.22632852235167925
D_recorrente_I_,4,[4],0.26489789707832034
D_recorrente_I_,5,[5],0.37734231548291197
D_recorrente_I_,6,[6],0.2563959775353294
D_recorrente_I_,7,[7],0.18219078036086964
D_recorrente_I_,8,[8],0.10156176569547899
D_recorrente_I_,9,[9],0.19501278772378516
D_recorrente_I_,10,[10],0.3064305012860685
D_recorrente_I_,11,[11],0.01080279601779284
