run,fold,test_bases,RF
D_recorrente_I_,0,[0],0.4802924915284466
D_recorrente_I_,1,[1],0.4340813464235624
D_recorrente_I_,2,[2],0.31445849367784495
D_recorrente_I_,3,[3],0.03601354965234445
D_recorrente_I_,4,[4],0.06255553580948996
D_recorrente_I_,5,[5],0.4636779505946935
D_recorrente_I_,6,[6],0.4831316464979831
D_recorrente_I_,7,[7],0.5989776132557729
D_recorrente_I_,8,[8],0.22163015591079535
D_recorrente_I_,9,[9],0.6949152542372882
D_recorrente_I_,10,[10],0.2901353965183752
D_recorrente_I_,11,[11],0.0
