run,fold,test_bases,RF
D_recorrente_I_,0,[0],0.3352431535367139
D_recorrente_I_,1,[1],0.35521768608383786
D_recorrente_I_,2,[2],0.21508283529078495
D_recorrente_I_,3,[3],0.02423946597812339
D_recorrente_I_,4,[4],0.054171249220691414
D_recorrente_I_,5,[5],0.38290722309297975
D_recorrente_I_,6,[6],0.3167821393721968
D_recorrente_I_,7,[7],0.5039138852539149
D_recorrente_I_,8,[8],0.09736366337928448
D_recorrente_I_,9,[9],0.593780876119321
D_recorrente_I_,10,[10],0.24548309984849942
D_recorrente_I_,11,[11],0.0
