run,fold,test_bases,RF
D_recorrente_I_,0,[0],0.13055109684323168
D_recorrente_I_,1,[1],0.26367461430575034
D_recorrente_I_,2,[2],0.2986989188198644
D_recorrente_I_,3,[3],0.3613834908183277
D_recorrente_I_,4,[4],0.1615425626443931
D_recorrente_I_,5,[5],0.28545288197621227
D_recorrente_I_,6,[6],0.2808947561422809
D_recorrente_I_,7,[7],0.30601092896174864
D_recorrente_I_,8,[8],0.61101243339254
D_recorrente_I_,9,[9],0.29807130333138515
D_recorrente_I_,10,[10],0.2553191489361702
D_recorrente_I_,11,[11],0.15383234607790341
