run,fold,test_bases,RF
D_recorrente_I_,0,[0],0.1636648080962466
D_recorrente_I_,1,[1],0.12119258662369058
D_recorrente_I_,2,[2],0.2821369403107208
D_recorrente_I_,3,[3],0.26323712666203186
D_recorrente_I_,4,[4],0.10071396094701057
D_recorrente_I_,5,[5],0.1110320284697509
D_recorrente_I_,6,[6],0.1331710709318498
D_recorrente_I_,7,[7],0.1414052390445214
D_recorrente_I_,8,[8],0.4966658204812245
D_recorrente_I_,9,[9],0.11481314723097703
D_recorrente_I_,10,[10],0.10499522748965956
D_recorrente_I_,11,[11],0.07597517730496454
