run,fold,test_bases,RF
D_recorrente_I_,0,[0],0.22204387372926698
D_recorrente_I_,1,[1],0.26858345021037866
D_recorrente_I_,2,[2],0.17866959868059373
D_recorrente_I_,3,[3],0.28614726332679624
D_recorrente_I_,4,[4],0.23636040518926604
D_recorrente_I_,5,[5],0.157548032936871
D_recorrente_I_,6,[6],0.33846718005133847
D_recorrente_I_,7,[7],0.25189494094835185
D_recorrente_I_,8,[8],0.3023485297019933
D_recorrente_I_,9,[9],0.28930450029222676
D_recorrente_I_,10,[10],0.24912959381044486
D_recorrente_I_,11,[11],0.31681924250583376
