run,fold,test_bases,RF
D_recorrente_I_,0,[0],0.20586761820197547
D_recorrente_I_,1,[1],0.20386527342995897
D_recorrente_I_,2,[2],0.169672751620646
D_recorrente_I_,3,[3],0.26430062487784106
D_recorrente_I_,4,[4],0.22409855148723495
D_recorrente_I_,5,[5],0.09961950018015452
D_recorrente_I_,6,[6],0.2791937425092509
D_recorrente_I_,7,[7],0.23300417550940233
D_recorrente_I_,8,[8],0.3053292896566189
D_recorrente_I_,9,[9],0.2910867144596901
D_recorrente_I_,10,[10],0.250084534324628
D_recorrente_I_,11,[11],0.3088102908429846
