run,fold,test_bases,n_train_samples,n_test_samples,n_features_common_train,n_features_after_nan_train
I_D_D_,0,[0],44174,4095,4,4
I_D_D_,1,[1],44291,3978,4,4
I_D_D_,2,[2],44343,3926,4,4
I_D_D_,3,[3],44369,3900,4,4
I_D_D_,4,[4],44291,3978,4,4
I_D_D_,5,[5],44135,4134,4,4
I_D_D_,6,[6],44304,3965,4,4
I_D_D_,7,[7],44200,4069,4,4
I_D_D_,8,[8],44265,4004,4,4
I_D_D_,9,[9],44161,4108,4,4
I_D_D_,10,[10],44278,3991,4,4
I_D_D_,11,[11],44148,4121,4,4
I_D_D_,0,[0],44174,4095,4,4
I_D_D_,1,[1],44291,3978,4,4
I_D_D_,2,[2],44343,3926,4,4
I_D_D_,3,[3],44369,3900,4,4
I_D_D_,4,[4],44291,3978,4,4
I_D_D_,5,[5],44135,4134,4,4
I_D_D_,6,[6],44304,3965,4,4
I_D_D_,7,[7],44200,4069,4,4
I_D_D_,8,[8],44265,4004,4,4
I_D_D_,9,[9],44161,4108,4,4
I_D_D_,10,[10],44278,3991,4,4
I_D_D_,11,[11],44148,4121,4,4
