run,fold,test_bases,RF
I_D_I_,0,[0],0.0581077725353861
I_D_I_,1,[1],0.3400990099009901
I_D_I_,2,[2],0.485489424495819
I_D_I_,3,[3],0.1739680931881489
I_D_I_,4,[4],0.3563049853372434
I_D_I_,5,[5],0.3227771010962241
I_D_I_,6,[6],0.2545499262174127
I_D_I_,7,[7],0.2265705458290422
I_D_I_,8,[8],0.07673568818514
I_D_I_,9,[9],0.260456761611496
I_D_I_,10,[10],0.1188118811881188
I_D_I_,11,[11],0.2214212152420185
I_D_I_,0,[0],0.05810777253538614
I_D_I_,1,[1],0.3400990099009901
I_D_I_,2,[2],0.485489424495819
I_D_I_,3,[3],0.1739680931881489
I_D_I_,4,[4],0.3563049853372434
I_D_I_,5,[5],0.3227771010962241
I_D_I_,6,[6],0.2545499262174127
I_D_I_,7,[7],0.22657054582904224
I_D_I_,8,[8],0.07673568818514007
I_D_I_,9,[9],0.260456761611496
I_D_I_,10,[10],0.1188118811881188
I_D_I_,11,[11],0.22142121524201855
