run,fold,test_bases,n_train_samples,n_test_samples,n_features_common_train,n_features_after_nan_train
I_abrupto_I_,0,[0],41232,3696,4,4
I_abrupto_I_,1,[1],41256,3672,4,4
I_abrupto_I_,2,[2],41256,3672,4,4
I_abrupto_I_,3,[3],41148,3780,4,4
I_abrupto_I_,4,[4],41268,3660,4,4
I_abrupto_I_,5,[5],41316,3612,4,4
I_abrupto_I_,6,[6],41088,3840,4,4
I_abrupto_I_,7,[7],41124,3804,4,4
I_abrupto_I_,8,[8],41136,3792,4,4
I_abrupto_I_,9,[9],41100,3828,4,4
I_abrupto_I_,10,[10],41184,3744,4,4
I_abrupto_I_,11,[11],41100,3828,4,4
