run,fold,test_bases,RF
I_gradual_D_,0,[0],0.4004311506332525
I_gradual_D_,1,[1],0.4966316356777149
I_gradual_D_,2,[2],0.3153526970954357
I_gradual_D_,3,[3],0.5235732009925558
I_gradual_D_,4,[4],0.287970140683319
I_gradual_D_,5,[5],0.5734583688547883
I_gradual_D_,6,[6],0.4480964119419337
I_gradual_D_,7,[7],0.5162969049575459
I_gradual_D_,8,[8],0.5033792917004596
I_gradual_D_,9,[9],0.4804163242947137
I_gradual_D_,10,[10],0.4684684684684684
I_gradual_D_,11,[11],0.2492185279909065
I_gradual_D_,0,[0],0.4004311506332525
I_gradual_D_,1,[1],0.4966316356777149
I_gradual_D_,2,[2],0.3153526970954357
I_gradual_D_,3,[3],0.5235732009925558
I_gradual_D_,4,[4],0.287970140683319
I_gradual_D_,5,[5],0.5734583688547883
I_gradual_D_,6,[6],0.4480964119419337
I_gradual_D_,7,[7],0.5162969049575459
I_gradual_D_,8,[8],0.5033792917004596
I_gradual_D_,9,[9],0.48041632429471376
I_gradual_D_,10,[10],0.46846846846846846
I_gradual_D_,11,[11],0.24921852799090652
