run,fold,test_bases,RF
I_incremental_D_,0,[0],0.0736858084308326
I_incremental_D_,1,[1],0.2900619385024211
I_incremental_D_,2,[2],0.0532269179273306
I_incremental_D_,3,[3],0.2217308824139112
I_incremental_D_,4,[4],0.320580259223043
I_incremental_D_,5,[5],0.1218475949365649
I_incremental_D_,6,[6],0.3650835119899057
I_incremental_D_,7,[7],0.2503696981058246
I_incremental_D_,8,[8],0.4135444823837527
I_incremental_D_,9,[9],0.3607417320111186
I_incremental_D_,10,[10],0.1751322080882213
I_incremental_D_,11,[11],0.2535818093320591
I_incremental_D_,0,[0],0.07368580843083265
I_incremental_D_,1,[1],0.2900619385024211
I_incremental_D_,2,[2],0.053226917927330655
I_incremental_D_,3,[3],0.22173088241391126
I_incremental_D_,4,[4],0.320580259223043
I_incremental_D_,5,[5],0.12184759493656494
I_incremental_D_,6,[6],0.36508351198990574
I_incremental_D_,7,[7],0.2503696981058246
I_incremental_D_,8,[8],0.4135444823837527
I_incremental_D_,9,[9],0.3607417320111186
I_incremental_D_,10,[10],0.1751322080882213
I_incremental_D_,11,[11],0.2535818093320591
