run,fold,test_bases,RF
I_incremental_D_,0,[0],0.4305200341005967
I_incremental_D_,1,[1],0.5258941344778255
I_incremental_D_,2,[2],0.270031365839749
I_incremental_D_,3,[3],0.5203996669442131
I_incremental_D_,4,[4],0.4313072439633638
I_incremental_D_,5,[5],0.5539983511953833
I_incremental_D_,6,[6],0.3541497702081643
I_incremental_D_,7,[7],0.4260051325919589
I_incremental_D_,8,[8],0.3432793407217959
I_incremental_D_,9,[9],0.3247863247863248
I_incremental_D_,10,[10],0.2880390561432058
I_incremental_D_,11,[11],0.3238334730371612
I_incremental_D_,0,[0],0.43052003410059675
I_incremental_D_,1,[1],0.5258941344778255
I_incremental_D_,2,[2],0.27003136583974907
I_incremental_D_,3,[3],0.5203996669442131
I_incremental_D_,4,[4],0.43130724396336384
I_incremental_D_,5,[5],0.5539983511953833
I_incremental_D_,6,[6],0.35414977020816435
I_incremental_D_,7,[7],0.42600513259195893
I_incremental_D_,8,[8],0.34327934072179594
I_incremental_D_,9,[9],0.3247863247863248
I_incremental_D_,10,[10],0.28803905614320585
I_incremental_D_,11,[11],0.3238334730371612
