run,fold,test_bases,RF
I_incremental_D_,0,[0],0.43470511283175395
I_incremental_D_,1,[1],0.48391612894017755
I_incremental_D_,2,[2],0.3707513187460954
I_incremental_D_,3,[3],0.5981574718964111
I_incremental_D_,4,[4],0.41798777236518514
I_incremental_D_,5,[5],0.45766757720361506
I_incremental_D_,6,[6],0.3488716543741705
I_incremental_D_,7,[7],0.332763139465857
I_incremental_D_,8,[8],0.3752915255791802
I_incremental_D_,9,[9],0.41235740178919167
I_incremental_D_,10,[10],0.344983799833868
I_incremental_D_,11,[11],0.42674099299371826
