run,fold,test_bases,RF
I_incremental_D_,0,[0],0.4258520548705108
I_incremental_D_,1,[1],0.5312833773585374
I_incremental_D_,2,[2],0.32504855281104617
I_incremental_D_,3,[3],0.5667831708198819
I_incremental_D_,4,[4],0.4254639232835444
I_incremental_D_,5,[5],0.49183191661318204
I_incremental_D_,6,[6],0.3614577973909373
I_incremental_D_,7,[7],0.4381162626169009
I_incremental_D_,8,[8],0.3519388733610606
I_incremental_D_,9,[9],0.3526736661452585
I_incremental_D_,10,[10],0.30444593323070435
I_incremental_D_,11,[11],0.3998365657798254
