run,fold,test_bases,RF
I_incremental_D_,0,[0],0.4436829853645773
I_incremental_D_,1,[1],0.6074729343565509
I_incremental_D_,2,[2],0.3261486546218105
I_incremental_D_,3,[3],0.5801631952084594
I_incremental_D_,4,[4],0.4087440342780656
I_incremental_D_,5,[5],0.4341861141407516
I_incremental_D_,6,[6],0.3006441137893018
I_incremental_D_,7,[7],0.4701395620178537
I_incremental_D_,8,[8],0.35690002642122476
I_incremental_D_,9,[9],0.3992175000708972
I_incremental_D_,10,[10],0.25085994692169644
I_incremental_D_,11,[11],0.5904896627420337
