run,fold,test_bases,RF
I_incremental_D_,0,[0],0.450412048877522
I_incremental_D_,1,[1],0.5213161659513591
I_incremental_D_,2,[2],0.2540633019674936
I_incremental_D_,3,[3],0.5942270330280321
I_incremental_D_,4,[4],0.43130724396336384
I_incremental_D_,5,[5],0.45039846111569115
I_incremental_D_,6,[6],0.3676669370100027
I_incremental_D_,7,[7],0.455945252352438
I_incremental_D_,8,[8],0.4506962205171924
I_incremental_D_,9,[9],0.333057623380204
I_incremental_D_,10,[10],0.2994304312449146
I_incremental_D_,11,[11],0.40094998602961723
