run,fold,test_bases,RF
I_incremental_D_,0,[0],0.4420758005655207
I_incremental_D_,1,[1],0.5123928210972327
I_incremental_D_,2,[2],0.25036435384993344
I_incremental_D_,3,[3],0.5908771033269984
I_incremental_D_,4,[4],0.4131924294536715
I_incremental_D_,5,[5],0.42835565945702014
I_incremental_D_,6,[6],0.39663919673031933
I_incremental_D_,7,[7],0.4456547427099795
I_incremental_D_,8,[8],0.3965965444217443
I_incremental_D_,9,[9],0.3500688058932857
I_incremental_D_,10,[10],0.3247286291393626
I_incremental_D_,11,[11],0.4059045983697722
