run,fold,test_bases,RF
I_incremental_D_,0,[0],0.5964762716680875
I_incremental_D_,1,[1],0.813447782546495
I_incremental_D_,2,[2],0.6928999144568007
I_incremental_D_,3,[3],0.8073827366083819
I_incremental_D_,4,[4],0.7230086039411602
I_incremental_D_,5,[5],0.7012915636163781
I_incremental_D_,6,[6],0.683698296836983
I_incremental_D_,7,[7],0.6161961790704306
I_incremental_D_,8,[8],0.6160841148053424
I_incremental_D_,9,[9],0.6286186931348222
I_incremental_D_,10,[10],0.5226471385950637
I_incremental_D_,11,[11],0.761385861972618
