run,fold,test_bases,RF
I_incremental_D_,0,[0],0.4741765566658399
I_incremental_D_,1,[1],0.7184576205814784
I_incremental_D_,2,[2],0.7210151826064803
I_incremental_D_,3,[3],0.7584817139868931
I_incremental_D_,4,[4],0.6184997843291054
I_incremental_D_,5,[5],0.7373242218572212
I_incremental_D_,6,[6],0.6134135035779643
I_incremental_D_,7,[7],0.6035370728282654
I_incremental_D_,8,[8],0.6030692298698423
I_incremental_D_,9,[9],0.677979726518026
I_incremental_D_,10,[10],0.7209824787893642
I_incremental_D_,11,[11],0.5873937061575372
