run,fold,test_bases,RF
I_incremental_D_,0,[0],0.04961622807017544
I_incremental_D_,1,[1],0.22240618101545254
I_incremental_D_,2,[2],0.20627062706270627
I_incremental_D_,3,[3],0.24517684887459806
I_incremental_D_,4,[4],0.2859056806002144
I_incremental_D_,5,[5],0.12791932059447983
I_incremental_D_,6,[6],0.30407523510971785
I_incremental_D_,7,[7],0.2824532453245325
I_incremental_D_,8,[8],0.5567434210526315
I_incremental_D_,9,[9],0.43849840255591055
I_incremental_D_,10,[10],0.1501572327044025
I_incremental_D_,11,[11],0.3047464940668824
