run,fold,test_bases,RF
I_incremental_D_,0,[0],0.08004785578742282
I_incremental_D_,1,[1],0.28643219077428395
I_incremental_D_,2,[2],0.06261133700881405
I_incremental_D_,3,[3],0.22960918355996468
I_incremental_D_,4,[4],0.23149527100929948
I_incremental_D_,5,[5],0.11342473054182936
I_incremental_D_,6,[6],0.34776737858031415
I_incremental_D_,7,[7],0.3465296306690837
I_incremental_D_,8,[8],0.3702654482327192
I_incremental_D_,9,[9],0.3156171159764446
I_incremental_D_,10,[10],0.12562180227622347
I_incremental_D_,11,[11],0.2851571180035191
