run,fold,test_bases,RF
I_incremental_D_,0,[0],0.0890608691760954
I_incremental_D_,1,[1],0.2801684733917943
I_incremental_D_,2,[2],0.1276830872616645
I_incremental_D_,3,[3],0.23860859326006462
I_incremental_D_,4,[4],0.28815078050793747
I_incremental_D_,5,[5],0.17153587798128345
I_incremental_D_,6,[6],0.3017591619981326
I_incremental_D_,7,[7],0.1599882601876085
I_incremental_D_,8,[8],0.2694827640347363
I_incremental_D_,9,[9],0.4319800509928303
I_incremental_D_,10,[10],0.36837508400458313
I_incremental_D_,11,[11],0.31736235965145415
