run,fold,test_bases,RF
I_incremental_D_,0,[0],0.6304824561403509
I_incremental_D_,1,[1],0.7577262693156733
I_incremental_D_,2,[2],0.6397139713971397
I_incremental_D_,3,[3],0.6797963558413719
I_incremental_D_,4,[4],0.5782422293676313
I_incremental_D_,5,[5],0.7043524416135881
I_incremental_D_,6,[6],0.6588296760710554
I_incremental_D_,7,[7],0.6157865786578658
I_incremental_D_,8,[8],0.6260964912280702
I_incremental_D_,9,[9],0.6509584664536742
I_incremental_D_,10,[10],0.5859538784067087
I_incremental_D_,11,[11],0.6413160733549083
