run,fold,test_bases,RF
I_incremental_D_,0,[0],0.5026154175476638
I_incremental_D_,1,[1],0.735377354561418
I_incremental_D_,2,[2],0.6512488809616508
I_incremental_D_,3,[3],0.8015602771946806
I_incremental_D_,4,[4],0.5238908569895672
I_incremental_D_,5,[5],0.638507315971516
I_incremental_D_,6,[6],0.6945820113405506
I_incremental_D_,7,[7],0.5364925281010824
I_incremental_D_,8,[8],0.5700618657234239
I_incremental_D_,9,[9],0.5175363534110622
I_incremental_D_,10,[10],0.5410289593211908
I_incremental_D_,11,[11],0.773523033456057
