run,fold,test_bases,RF
I_incremental_I_,0,[0],0.3723861357777141
I_incremental_I_,1,[1],0.0830794793685959
I_incremental_I_,2,[2],0.3774097203366821
I_incremental_I_,3,[3],0.309295311214697
I_incremental_I_,4,[4],0.1076839826839826
I_incremental_I_,5,[5],0.1949650349650349
I_incremental_I_,6,[6],0.2777620796835264
I_incremental_I_,7,[7],0.2993006993006993
I_incremental_I_,8,[8],0.3684356765768269
I_incremental_I_,9,[9],0.3580107374964679
I_incremental_I_,10,[10],0.2071830608415974
I_incremental_I_,11,[11],0.2388264326843981
I_incremental_I_,0,[0],0.3723861357777141
I_incremental_I_,1,[1],0.08307947936859596
I_incremental_I_,2,[2],0.3774097203366821
I_incremental_I_,3,[3],0.309295311214697
I_incremental_I_,4,[4],0.10768398268398269
I_incremental_I_,5,[5],0.19496503496503498
I_incremental_I_,6,[6],0.2777620796835264
I_incremental_I_,7,[7],0.2993006993006993
I_incremental_I_,8,[8],0.3684356765768269
I_incremental_I_,9,[9],0.35801073749646795
I_incremental_I_,10,[10],0.20718306084159743
I_incremental_I_,11,[11],0.23882643268439813
