run,fold,test_bases,RF
I_incremental_I_,0,[0],0.5345797514102177
I_incremental_I_,1,[1],0.20858373244621345
I_incremental_I_,2,[2],0.20429798075718053
I_incremental_I_,3,[3],0.34084549671139464
I_incremental_I_,4,[4],0.4236953264850021
I_incremental_I_,5,[5],0.0
I_incremental_I_,6,[6],0.20408605491365603
I_incremental_I_,7,[7],0.07637827023956652
I_incremental_I_,8,[8],0.3332630115311773
I_incremental_I_,9,[9],0.5768946151125779
I_incremental_I_,10,[10],0.01638832758825627
I_incremental_I_,11,[11],0.3590941055118256
