run,fold,test_bases,RF
I_incremental_I_,0,[0],0.5368097864064396
I_incremental_I_,1,[1],0.20858373244621345
I_incremental_I_,2,[2],0.13781957710772424
I_incremental_I_,3,[3],0.32742581671224785
I_incremental_I_,4,[4],0.19890756981012664
I_incremental_I_,5,[5],0.002857142857142857
I_incremental_I_,6,[6],0.0024344569288389513
I_incremental_I_,7,[7],0.058878234355011064
I_incremental_I_,8,[8],0.33818093881289213
I_incremental_I_,9,[9],0.3856750775423807
I_incremental_I_,10,[10],0.21158634943916718
I_incremental_I_,11,[11],0.3590941055118256
