run,fold,test_bases,RF
I_incremental_I_,0,[0],0.6212394569873319
I_incremental_I_,1,[1],0.20858373244621345
I_incremental_I_,2,[2],0.13781957710772424
I_incremental_I_,3,[3],0.34084549671139464
I_incremental_I_,4,[4],0.1801846041594134
I_incremental_I_,5,[5],0.0
I_incremental_I_,6,[6],0.20216184984956365
I_incremental_I_,7,[7],0.39980259787033784
I_incremental_I_,8,[8],0.20045519061598965
I_incremental_I_,9,[9],0.4023004077872462
I_incremental_I_,10,[10],0.4014133881691881
I_incremental_I_,11,[11],0.1462434730156956
