run,fold,test_bases,RF
I_incremental_I_,0,[0],0.5188359969432271
I_incremental_I_,1,[1],0.27655953405724865
I_incremental_I_,2,[2],0.010380622837370242
I_incremental_I_,3,[3],0.10796045785639959
I_incremental_I_,4,[4],0.0
I_incremental_I_,5,[5],0.21518691588785047
I_incremental_I_,6,[6],0.2561266493467646
I_incremental_I_,7,[7],0.05041928398829849
I_incremental_I_,8,[8],0.19203127108389514
I_incremental_I_,9,[9],0.5303462702391952
I_incremental_I_,10,[10],0.24122862327798436
I_incremental_I_,11,[11],0.2747696049834265
