run,fold,test_bases,RF
I_incremental_I_,0,[0],0.5322463584235069
I_incremental_I_,1,[1],0.03646189739494002
I_incremental_I_,2,[2],0.3792236822296257
I_incremental_I_,3,[3],0.17157932230192685
I_incremental_I_,4,[4],0.2199335501855993
I_incremental_I_,5,[5],0.0018535681186283596
I_incremental_I_,6,[6],0.007114648090198782
I_incremental_I_,7,[7],0.05786879553272624
I_incremental_I_,8,[8],0.1028021978021978
I_incremental_I_,9,[9],0.14626207527843174
I_incremental_I_,10,[10],0.33572837548149137
I_incremental_I_,11,[11],0.34034191396664026
