run,fold,test_bases,RF
I_incremental_I_,0,[0],0.5370189708448185
I_incremental_I_,1,[1],0.25491206116757015
I_incremental_I_,2,[2],0.14423915851718996
I_incremental_I_,3,[3],0.2603710645259242
I_incremental_I_,4,[4],0.2019898499657793
I_incremental_I_,5,[5],0.0
I_incremental_I_,6,[6],0.007114648090198782
I_incremental_I_,7,[7],0.06196225821978807
I_incremental_I_,8,[8],0.3344254284445226
I_incremental_I_,9,[9],0.35664824019568486
I_incremental_I_,10,[10],0.21131921080175295
I_incremental_I_,11,[11],0.22751011219181003
