run,fold,test_bases,RF
I_incremental_I_,0,[0],0.6101403609281009
I_incremental_I_,1,[1],0.2550540016615896
I_incremental_I_,2,[2],0.2541406462123269
I_incremental_I_,3,[3],0.30600493556347685
I_incremental_I_,4,[4],0.26704545454545453
I_incremental_I_,5,[5],0.0
I_incremental_I_,6,[6],0.0064990110200621645
I_incremental_I_,7,[7],0.06545454545454546
I_incremental_I_,8,[8],0.405668241178105
I_incremental_I_,9,[9],0.46453800508618254
I_incremental_I_,10,[10],0.25381935138032696
I_incremental_I_,11,[11],0.16451878256100905
