run,fold,test_bases,RF
I_incremental_I_,0,[0],0.3022056717272988
I_incremental_I_,1,[1],0.026585433397950706
I_incremental_I_,2,[2],0.21368449633450992
I_incremental_I_,3,[3],0.14258294488620785
I_incremental_I_,4,[4],0.03598484848484849
I_incremental_I_,5,[5],0.2816783216783217
I_incremental_I_,6,[6],0.20118677592540266
I_incremental_I_,7,[7],0.2690909090909091
I_incremental_I_,8,[8],0.22534037232564602
I_incremental_I_,9,[9],0.35066402938683244
I_incremental_I_,10,[10],0.1718038059501474
I_incremental_I_,11,[11],0.3068275294762819
