run,fold,test_bases,RF
I_incremental_I_,0,[0],0.32555555555555554
I_incremental_I_,1,[1],0.09811827956989247
I_incremental_I_,2,[2],0.30406118143459915
I_incremental_I_,3,[3],0.11900958466453675
I_incremental_I_,4,[4],0.08804204993429698
I_incremental_I_,5,[5],0.23697068403908794
I_incremental_I_,6,[6],0.4750548245614035
I_incremental_I_,7,[7],0.41096634093376766
I_incremental_I_,8,[8],0.05960086299892125
I_incremental_I_,9,[9],0.43859649122807015
I_incremental_I_,10,[10],0.47239583333333335
I_incremental_I_,11,[11],0.1163471778487753
