run,fold,test_bases,RF
I_incremental_I_,0,[0],0.2847222222222222
I_incremental_I_,1,[1],0.221505376344086
I_incremental_I_,2,[2],0.08649789029535865
I_incremental_I_,3,[3],0.2846112886048988
I_incremental_I_,4,[4],0.011300919842312747
I_incremental_I_,5,[5],0.4489685124864278
I_incremental_I_,6,[6],0.5317982456140351
I_incremental_I_,7,[7],0.254614549402823
I_incremental_I_,8,[8],0.2632146709816613
I_incremental_I_,9,[9],0.3969298245614035
I_incremental_I_,10,[10],0.3229166666666667
I_incremental_I_,11,[11],0.28647497337593186
