run,fold,test_bases,RF
I_incremental_I_,0,[0],0.46694444444444444
I_incremental_I_,1,[1],0.3556451612903226
I_incremental_I_,2,[2],0.15031645569620253
I_incremental_I_,3,[3],0.17971246006389777
I_incremental_I_,4,[4],0.07174770039421813
I_incremental_I_,5,[5],0.13545059717698155
I_incremental_I_,6,[6],0.19078947368421054
I_incremental_I_,7,[7],0.3585776330076004
I_incremental_I_,8,[8],0.10275080906148867
I_incremental_I_,9,[9],0.3040021929824561
I_incremental_I_,10,[10],0.32447916666666665
I_incremental_I_,11,[11],0.22870074547390842
