run,fold,test_bases,RF
I_incremental_I_,0,[0],0.42777777777777776
I_incremental_I_,1,[1],0.16451612903225807
I_incremental_I_,2,[2],0.14530590717299577
I_incremental_I_,3,[3],0.24387646432374868
I_incremental_I_,4,[4],0.12010512483574244
I_incremental_I_,5,[5],0.38355048859934854
I_incremental_I_,6,[6],0.12582236842105263
I_incremental_I_,7,[7],0.5206297502714441
I_incremental_I_,8,[8],0.05528586839266451
I_incremental_I_,9,[9],0.2650767543859649
I_incremental_I_,10,[10],0.5216145833333333
I_incremental_I_,11,[11],0.21565495207667731
