run,fold,test_bases,RF
I_incremental_I_,0,[0],0.40966331849033405
I_incremental_I_,1,[1],0.25350001706565944
I_incremental_I_,2,[2],0.247259855541612
I_incremental_I_,3,[3],0.14237778855608968
I_incremental_I_,4,[4],0.08069356299998869
I_incremental_I_,5,[5],0.1395513931689779
I_incremental_I_,6,[6],0.27012513973205077
I_incremental_I_,7,[7],0.3236151154579848
I_incremental_I_,8,[8],0.06708077825924387
I_incremental_I_,9,[9],0.3727801951031988
I_incremental_I_,10,[10],0.24054183073902125
I_incremental_I_,11,[11],0.2084750320872737
