run,fold,test_bases,RF
I_incremental_I_,0,[0],0.31013424840827064
I_incremental_I_,1,[1],0.23748985588913765
I_incremental_I_,2,[2],0.23253289525952978
I_incremental_I_,3,[3],0.14416480206207977
I_incremental_I_,4,[4],0.09392231402329063
I_incremental_I_,5,[5],0.1926091318154156
I_incremental_I_,6,[6],0.18077511296845125
I_incremental_I_,7,[7],0.2611654300284024
I_incremental_I_,8,[8],0.04358798795635495
I_incremental_I_,9,[9],0.40583010245650786
I_incremental_I_,10,[10],0.3319861759990206
I_incremental_I_,11,[11],0.2573775078791148
