run,fold,test_bases,RF
I_incremental_I_,0,[0],0.10583333333333333
I_incremental_I_,1,[1],0.4190860215053763
I_incremental_I_,2,[2],0.28217299578059074
I_incremental_I_,3,[3],0.2678381256656017
I_incremental_I_,4,[4],0.09250985545335086
I_incremental_I_,5,[5],0.5426167209554832
I_incremental_I_,6,[6],0.40021929824561403
I_incremental_I_,7,[7],0.2706297502714441
I_incremental_I_,8,[8],0.0
I_incremental_I_,9,[9],0.23766447368421054
I_incremental_I_,10,[10],0.5231770833333333
I_incremental_I_,11,[11],0.4251863684771033
