run,fold,test_bases,RF
I_incremental_I_,0,[0],0.22277777777777777
I_incremental_I_,1,[1],0.09274193548387097
I_incremental_I_,2,[2],0.4680907172995781
I_incremental_I_,3,[3],0.10596379126730564
I_incremental_I_,4,[4],0.10538764783180027
I_incremental_I_,5,[5],0.20602605863192183
I_incremental_I_,6,[6],0.17982456140350878
I_incremental_I_,7,[7],0.6715526601520087
I_incremental_I_,8,[8],0.20496224379719524
I_incremental_I_,9,[9],0.2949561403508772
I_incremental_I_,10,[10],0.39505208333333336
I_incremental_I_,11,[11],0.5170394036208733
